Census Year,Total Population,Census Cost,Average Cost Per Person
1790,3929214,44377,1.13
1800,5308483,66109,1.24
1810,7239881,178445,2.46
1820,9633822,208526,2.16
1830,12866020,378545,2.94
1840,17069458,833371,4.88
1850,23191876,1423351,6.14
1860,31443321,1969377,6.26
1870,38558371,3421198,8.87
1880,50155783,5790678,11.54
1890,62979766,11547127,18.33
1900,76303387,11854000,15.54
1910,91972266,15968000,17.07
1920,105710620,25117000,23.76
1930,122775046,40156000,32.71
1940,131669275,67527000,51.29
1950,151325798,91462000,60.44
1960,179323175,127934000,71.34
1970,203302031,247653000,122.0
1980,226542199,1078488000,476.0
1990,248718301,2492830000,1002.0
2000,281421906,4500000000,1599.0
2010,308745538,13000000000,4211.0
